Bennett, Dominic J., Sutton, Mark D., and Turvey, Samuel T. 2018. Quantifying the living fossil concept. Palaeontologia Electronica 21.1.15A 1-25. https://doi.org/10.26879/750
palaeo-electronica.org/content/2018/2194-quantifying-the-living-fossil
Appendix 6. Information and statistics for all clades for which pEPI, EPI and ED scores were calculated. Clades are ordered by pEPI. Common names are not available for all clades, these are automatically taken from NCBI. If you are looking for a specific clade, you may not find it because we only calculate values for clades that split. For example, lungfishes are represented by the clade ""Ceratodontimorpha"" even though they are more commonly known as ""Dipnoi"". This is because, according to NCBI taxonomy, the Dipnoi group only has a single child, Ceratodonitmorpha, which from the perspective of evolutionary performance make them the same clade. To find a clade, first search for it at the NCBI taxonomy website (www.ncbi.nlm.nih.gov/taxonomy) to ensure it is splitting. Additionally, many clades were ommitted if their ""Success"" was greater than 0.01 and/or their parent had fewer than 500 descendent species.
Alston's mouse oppossum,Micoureus alstoni,1202162,Mammals,1,15.6,0.25,1.05616969,-4.133565275,60%-61%,-2.480171961,22.13050367
Tate's wolly mouse opossum,Micoureus paraguayanus,225729,Mammals,1,15.6,0.25,-,-4.133565275,60%-61%,-,-
long-furred woolly mouse opossum,Micoureus demerarae,42719,Mammals,1,15.6,0.25,0.885830719,-4.133565275,60%-61%,-2.61990662,22.13050367
Short-furred woolly mouse opossum,Micoureus regina,42720,Mammals,1,15.6,0.25,0.998882189,-4.133565275,60%-61%,-2.525022012,22.13050367
White-bellied woolly mouse opossum,Micoureus constantiae,867190,Mammals,1,15.6,0.25,-,-4.133565275,60%-61%,-,22.13050367
Silvery lutung,Trachypithecus cristatus,122765,Mammals,1,3.9,0.0625,-,-4.133565275,60%-61%,-,5.589722395
Javan langur,Trachypithecus auratus,222416,Mammals,1,3.9,0.0625,0.928519153,-4.133565275,60%-61%,-1.369997971,5.589722395
Francois's langur,Trachypithecus francoisi,54180,Mammals,1,3.9,0.0625,-,-4.133565275,60%-61%,-,5.589722395
Dusky leaf-monkey,Trachypithecus obscurus,54181,Mammals,1,3.9,0.0625,-,-4.133565275,60%-61%,-,5.589722395
Phayre's leaf monkey,Trachypithecus phayrei,61618,Mammals,1,3.9,0.0625,-,-4.133565275,60%-61%,-,5.589722395
Parma wallaby,Macropus parma,413582,Mammals,1,3.9,0.0625,1,-4.133565275,60%-61%,-1.300351931,9.563052606
Black-striped wallaby,Macropus dorsalis,651581,Mammals,1,3.9,0.0625,0.94720805,-4.133565275,60%-61%,-1.351315323,9.563052606
western gray kangaroo,Macropus fuliginosus,9316,Mammals,1,3.9,0.0625,0.946779429,-4.133565275,60%-61%,-1.351739914,9.398766892
eastern gray kangaroo,Macropus giganteus,9317,Mammals,1,3.9,0.0625,0.97149966,-4.133565275,60%-61%,-1.327542106,9.398766892
golden ringtail possum,Pseudochirops corinnae,65629,Mammals,1,20.8,0.333333333,0.816309563,-4.133565275,60%-61%,-2.895501618,23.24256855
,Epidendreae,158389,Embryophytes,1175,41.06,0.658263305,-,-4.133184679,60%-61%,-,-
,Pachyramphus albogriseus,369600,Aves,1,4.158088502,0.066666667,-,-4.133105675,60%-61%,-,8.145364382
,Pachyramphus polychopterus,196045,Aves,1,4.158088502,0.066666667,-,-4.133105675,60%-61%,-,8.145364381
,Phyllastrephus icterinus,147052,Aves,1,4.454638709,0.071428571,-,-4.133003289,60%-61%,-,7.809067023
,Euryceros prevostii,125303,Aves,1,3.281716081,0.052631579,-,-4.13280546,60%-61%,-,10.54306383
,Paradoxornis unicolor,1071671,Aves,1,3.667785769,0.058823529,-,-4.132801491,60%-61%,-,6.180980059
black-chinned sparrow,Spizella atrogularis,40208,Aves,1,8.904884709,0.142857143,-,-4.132510119,60%-61%,-,9.906660242
,Artamus cinereus,335548,Aves,1,7.791585303,0.125,-,-4.132485886,60%-61%,-,10.22295368
,Toxostoma redivivum,99882,Aves,1,6.232585333,0.1,-,-4.132376321,60%-61%,-,7.827105513
,Arctocephalus pusillus,37191,Mammals,1,8.9,0.142857143,-,-4.131961426,60%-61%,-,11.36278342
,Oriolus melanotis,890105,Aves,1,2.224309765,0.035714286,0.992147863,-4.13165116,60%-61%,-0.771965588,5.197055267
Indian cuckoo,Cuculus micropterus,1463808,Aves,1,6.919398235,0.111111111,-,-4.131553383,60%-61%,-,9.747475707
,Serinus estherae,1105372,Aves,1,2.008673368,0.032258065,-,-4.131461693,60%-61%,-,3.743010138
Emei Shan warbler,Seicercus omeiensis,274628,Aves,1,3.65916462,0.058823529,0.997238979,-4.13044822,60%-61%,-1.242687498,5.200243076
,Pitta anerythra,397312,Aves,1,4.784606608,0.076923077,-,-4.130353165,60%-61%,-,7.496114123
,Sylvietta whytii,330761,Aves,1,12.43877233,0.2,-,-4.130256308,60%-61%,-,16.01433006
,Megapodius decollatus,177166,Aves,1,5.653985198,0.090909091,-,-4.130255914,60%-61%,-,-
,Megapodius forstenii,177167,Aves,1,5.653985198,0.090909091,-,-4.130255914,60%-61%,-,-
,Harpactes,57418,Aves,11,24.43073677,0.392857143,1.015923145,-4.130151281,60%-61%,-2.853117757,14.70890137
gold-fronted leafbird,Chloropsis aurifrons,552877,Aves,1,6.215374097,0.1,0.904811419,-4.129611009,60%-61%,-1.822226035,13.63284201
,Oriolus szalayi,890115,Aves,1,2.219423723,0.035714286,0.992025742,-4.129452088,60%-61%,-0.769885334,5.194612245
,Ducula pinon,187115,Aves,1,6.903731224,0.111111111,1.244329777,-4.1292866,60%-61%,-1.627935242,9.29926027
long-tailed pygmy possum,Cercartetus caudatus,38602,Mammals,1,20.7,0.333333333,0.971009381,-4.128745989,60%-61%,-2.764434454,26.06720391
long-nosed antechinus,Antechinus naso,38774,Mammals,1,6.9,0.111111111,0.885848695,-4.128745989,60%-61%,-1.934566236,9.671551514
white-tailed alethe,Alethe diademata,197521,Aves,1,15.52089315,0.25,-,-4.128481422,60%-61%,-,15.91164449
,Gerygone chrysogaster,266332,Aves,1,4.138201288,0.066666667,-,-4.128311423,60%-61%,-,8.162460943
cuban parrot,Amazona leucocephala,241562,Aves,1,2.000842281,0.032258065,-,-4.127555437,60%-61%,-,4.650602888
bay-breasted warbler,Setophaga castanea,231568,Aves,1,2.000005513,0.032258065,-,-4.127137142,60%-61%,-,3.231443818
blackpoll warbler,Setophaga striata,1212470,Aves,1,2.000005504,0.032258065,-,-4.127137137,60%-61%,-,3.231443814
Panamint kangaroo rat,Dipodomys panamintinus,10019,Mammals,1,3.1,0.05,-,-4.127134385,60%-61%,-,5.893452116
,Potorous,9309,Mammals,4,31,0.5,0.968030473,-4.127134385,60%-61%,-3.050065516,27.28869058
Hispaniolan palm-crow,Corvus palmarum,1196304,Aves,1,1.347449785,0.02173913,0.903910248,-4.126855154,60%-61%,-0.375473514,4.329058805
,Ploceus spekei,441718,Aves,1,1.239010786,0.02,0.848685481,-4.126336313,60%-61%,-0.355087459,3.308538853
,Scytalopus pachecoi,519467,Aves,1,1.769754386,0.028571429,-,-4.126188833,60%-61%,-,4.797221327
,Pitta maxima,397298,Aves,1,4.764713648,0.076923077,-,-4.126186798,60%-61%,-,7.412427252
red-backed fairy wren,Malurus melanocephalus,175006,Aves,1,5.160023299,0.083333333,-,-4.125847745,60%-61%,-,11.34470276
silver-eye,Zosterops lateralis,43581,Aves,1,0.967286208,0.015625,-,-4.125622231,60%-61%,-,1.411316124
,Piaya melanogaster,103948,Aves,1,30.9453943,0.5,-,-4.125371358,60%-61%,-,32.03272328
starred wood quail,Odontophorus stellatus,1355960,Aves,1,4.759512108,0.076923077,0.902108626,-4.125094522,60%-61%,-1.581336419,8.222870986
,Clytorhynchus,338448,Aves,4,2.909856519,0.047058824,-,-4.124460669,60%-61%,-,2.471288235
,Anas gibberifrons,75848,Aves,1,1.545738911,0.025,-,-4.12438151,60%-61%,-,2.692602926
,Anthemideae,102810,Embryophytes,973,33.9,0.548478016,-,-4.124023095,60%-61%,-,-
grasshopper sparrow,Ammodramus savannarum,135422,Aves,1,7.725283262,0.125,-,-4.123940032,60%-61%,-,8.912005058
,Sturnus cineraceus,36269,Aves,1,4.414385773,0.071428571,-,-4.123926031,60%-61%,-,5.37654505
red-billed starling,Sturnus sericeus,451428,Aves,1,4.414385773,0.071428571,-,-4.123926031,60%-61%,-,5.37654505
big free-tailed bat,Nyctinomops macrotis,124753,Mammals,1,20.6,0.333333333,-,-4.123903364,60%-61%,-,27.00685562
pocketed free-tailed bat,Nyctinomops femorosaccus,258865,Mammals,1,20.6,0.333333333,-,-4.123903364,60%-61%,-,27.00685562
Peale's free-tailed bat,Nyctinomops aurispinosus,27626,Mammals,1,20.6,0.333333333,-,-4.123903364,60%-61%,-,27.00685562
broad-eared bat,Nyctinomops laticaudatus,27627,Mammals,1,20.6,0.333333333,-,-4.123903364,60%-61%,-,27.00685562
D'Albertis' ringtail,Pseudochirops albertisii,699040,Mammals,1,20.6,0.333333333,0.922143313,-4.123903364,60%-61%,-2.797775777,23.10923521
,Symposiachrus,1576457,Aves,14,11.52908111,0.186666667,-,-4.12330342,60%-61%,-,3.544017858
,Tachyphonus delatrii,460223,Aves,1,8.82010857,0.142857143,-,-4.122944329,60%-61%,-,9.191079283
,Merops ornatus,361449,Aves,1,3.085656904,0.05,-,-4.122496843,60%-61%,-,6.530725076
Tasmanian thornbill,Acanthiza ewingii,117186,Aves,1,5.141439814,0.083333333,-,-4.122239809,60%-61%,-,7.634920222
,Larus pacificus,328040,Aves,1,1.762231894,0.028571429,-,-4.121929188,60%-61%,-,2.581052999
brown warbler,Sylvia lugens,216224,Aves,1,2.283790531,0.037037037,-,-4.121673442,60%-61%,-,5.036988575
,Paradoxornis paradoxus,1071664,Aves,1,3.626227861,0.058823529,-,-4.121406295,60%-61%,-,6.077070265
Moorland chat,Cercomela sordida,693032,Aves,1,7.703991592,0.125,-,-4.121180125,60%-61%,-,8.709378492
pied wagtail,Motacilla yarrellii,1471807,Aves,1,4.740829488,0.076923077,-,-4.121161475,60%-61%,-,-
Moroccan wagtail,Motacilla subpersonata,1761660,Aves,1,4.740829488,0.076923077,-,-4.121161475,60%-61%,-,-
,Motacilla lugens,180449,Aves,1,4.740829488,0.076923077,-,-4.121161475,60%-61%,-,-
eastern yellow wagtail,Motacilla tschutschensis,662061,Aves,1,4.740829488,0.076923077,-,-4.121161475,60%-61%,-,-
,Pitta steerii,397300,Aves,1,4.740203909,0.076923077,1.027739215,-4.121029511,60%-61%,-1.456540484,7.466112944
,BOP clade,359160,Embryophytes,2888,68.6,1.113338473,-,-4.1209294,60%-61%,-,-
southern white-breasted hedgehog,Erinaceus concolor,37316,Mammals,1,8.8,0.142857143,1,-4.120661871,60%-61%,-2.041220329,15.31330333
Ward's red-backed vole,Eothenomys wardi,1256863,Mammals,1,4.4,0.071428571,-,-4.120661871,60%-61%,-,-
,Eothenomys cachinus,259049,Mammals,1,4.4,0.071428571,-,-4.120661871,60%-61%,-,-
southwest China vole,Eothenomys custos,259050,Mammals,1,4.4,0.071428571,0.852512338,-4.120661871,60%-61%,-1.560711702,5.600719717
Chaotung vole,Eothenomys olitor,259051,Mammals,1,4.4,0.071428571,0.918070336,-4.120661871,60%-61%,-1.492161159,5.600719717
Yulungshan vole,Eothenomys proditor,259052,Mammals,1,4.4,0.071428571,0.891488828,-4.120661871,60%-61%,-1.519392186,5.600719717
,Eothenomys eleusis,259053,Mammals,1,4.4,0.071428571,-,-4.120661871,60%-61%,-,-
,Eothenomys miletus,259054,Mammals,1,4.4,0.071428571,-,-4.120661871,60%-61%,-,-
Sichuan red-backed vole,Eothenomys chinensis,577681,Mammals,1,4.4,0.071428571,0.819003872,-4.120661871,60%-61%,-1.597652584,5.600719717
Smith's red-backed vole,Eothenomys smithii,82463,Mammals,1,4.4,0.071428571,-,-4.120661871,60%-61%,-,-
,Eothenomys imaizumii,82467,Mammals,1,4.4,0.071428571,-,-4.120661871,60%-61%,-,-
Pere David's vole,Eothenomys melanogaster,82468,Mammals,1,4.4,0.071428571,0.929220041,-4.120661871,60%-61%,-1.480956138,5.600719717
,Eothenomys inez,870526,Mammals,1,4.4,0.071428571,0.962031179,-4.120661871,60%-61%,-1.448692386,5.600719717
,Eothenomys eva,870527,Mammals,1,4.4,0.071428571,0.993034829,-4.120661871,60%-61%,-1.419133718,5.600719717
marbled cat,Pardofelis marmorata,61410,Mammals,1,8.8,0.142857143,-,-4.120661871,60%-61%,-,10.43521546
Yemen warbler,Sylvia buryi,216196,Aves,1,2.280017924,0.037037037,-,-4.12002017,60%-61%,-,5.035102272
,Vanellus cayanus,1118851,Aves,1,8.793590576,0.142857143,-,-4.119933262,60%-61%,-,16.16331226
western green-tinkerbird,Pogoniulus coryphaeus,240725,Aves,1,10.25752975,0.166666667,1.00020362,-4.119771515,60%-61%,-2.17368685,11.27123357
coppery ringtail possum,Pseudochirops cupreus,37702,Mammals,1,20.5,0.333333333,1.18580307,-4.119037175,60%-61%,-2.602282868,23.05923521
green ringtail possum,Pseudochirops archeri,38621,Mammals,1,20.5,0.333333333,0.860237031,-4.119037175,60%-61%,-2.843475765,23.05923521
Mexican greater funnel-eared bat,Natalus stramineus,155040,Mammals,1,12.3,0.2,-,-4.119037175,60%-61%,-,23.13206126
Hispaniolan funnel-eared bat,Natalus major,290562,Mammals,1,12.3,0.2,-,-4.119037175,60%-61%,-,-
Jamaican funnel-eared bat,Natalus jamaicensis,290563,Mammals,1,12.3,0.2,-,-4.119037175,60%-61%,-,-
Mexican funnel-eared bat,Natalus saturatus,290564,Mammals,1,12.3,0.2,-,-4.119037175,60%-61%,-,-
Trinidadian funnel-eared bat,Natalus tumidirostris,59487,Mammals,1,12.3,0.2,-,-4.119037175,60%-61%,-,23.13206126
,Merops leschenaulti,457338,Aves,1,3.073168594,0.05,0.999976569,-4.118441418,60%-61%,-1.073941296,7.151908349
,Senecioneae,102812,Embryophytes,979,33.9,0.551860203,-,-4.117875535,60%-61%,-,-
Common fat-tailed mouse opossum,Thylamys pusillus,191873,Mammals,1,30.7,0.5,-,-4.117409835,60%-61%,-,33.80943319
,Thylamys citellus,866634,Mammals,1,30.7,0.5,-,-4.117409835,60%-61%,-,-
,Thylamys pulchellus,866639,Mammals,1,30.7,0.5,-,-4.117409835,60%-61%,-,-
blue-throated bee-eater,Merops viridis,135176,Aves,1,3.068342071,0.05,1,-4.116869647,60%-61%,-1.072347209,7.149495087
,Petroica macrocephala,369484,Aves,1,6.817812956,0.111111111,-,-4.116763317,60%-61%,-,13.61447195
,Calyptorhynchus lathami,986098,Aves,1,15.33021885,0.25,0.912994468,-4.11612033,60%-61%,-2.578827852,20.55313866
,Hydrornis cyanea,397295,Aves,1,6.810478059,0.111111111,-,-4.115686895,60%-61%,-,9.747817393
,Dicrurus waldenii,450169,Aves,1,3.4046279,0.055555556,0.979317903,-4.115507411,60%-61%,-1.190856497,5.90028952
greater hedgehog tenrec,Setifer setosus,319819,Mammals,1,15.3,0.25,-,-4.11414719,60%-61%,-,32.15662161
small Madagascar hedgehog,Echinops telfairi,9371,Mammals,1,15.3,0.25,1,-4.11414719,60%-61%,-2.504709277,32.15662161
,Chloropsis kinabaluensis,1218690,Aves,1,6.117119144,0.1,0.900992918,-4.113676351,60%-61%,-1.810098832,14.6249975
,Acrocephalus familiaris,435335,Aves,1,1.528744576,0.025,-,-4.113326314,60%-61%,-,2.635207796
,Vanellus chilensis,50404,Aves,1,8.735664887,0.142857143,-,-4.113324207,60%-61%,-,15.29816684
Hume's whitethroat,Sylvia althaea,1286968,Aves,1,2.264793295,0.037037037,-,-4.11332036,60%-61%,-,5.465427477
,Zosterops explorator,1220515,Aves,1,0.955393728,0.015625,1,-4.113251341,60%-61%,0.061135929,1.586469184
marbled wood quail,Odontophorus gujanensis,886794,Aves,1,4.700340563,0.076923077,-,-4.112584324,60%-61%,-,7.954866148
Jerdon's bushchat,Saxicola jerdoni,517759,Aves,1,5.091733864,0.083333333,-,-4.112525064,60%-61%,-,7.227268698
,Falco subbuteo,344233,Aves,1,1.607886906,0.026315789,1.039033695,-4.112506996,60%-61%,-0.411617936,5.291688343
,Palmeria dolei,64809,Aves,1,2.909435046,0.047619048,-,-4.112481358,60%-61%,-,4.398392536
black-throated blue robin,Luscinia obscura,1092978,Aves,1,4.071587832,0.066666667,1.080032564,-4.112083255,60%-61%,-1.267145473,7.915044923
,Falco cuvierii,495964,Aves,1,1.605831356,0.026315789,1.48766525,-4.111227761,60%-61%,-0.05889897,5.290660568
,Bryales,3226,Embryophytes,213,114,1.868421053,-,-4.111104731,60%-61%,-,-
,Tenebrioninae,1272141,Arthropods,325,119.45,1.957831325,-,-4.11106048,60%-61%,-,-
white-winged fairy-wren,Malurus leucopterus,228326,Aves,1,5.078971804,0.083333333,1.000015462,-4.11001549,60%-61%,-1.54505186,11.28679611
violaceous jay,Cyanocorax violaceus,703287,Aves,1,3.58477703,0.058823529,-,-4.109909621,60%-61%,-,5.32467064
,Oedistoma,175127,Aves,2,30.46723111,0.5,-,-4.109798897,60%-61%,-,20.84670417
,Synallaxis hypospodia,1094520,Aves,1,1.844824065,0.03030303,-,-4.108891476,60%-61%,-,3.178797277
lesser whistling duck,Dendrocygna javanica,60182,Aves,1,8.695134308,0.142857143,-,-4.108673743,60%-61%,-,12.67940117
rufous-tailed shrike,Lanius isabellinus,276764,Aves,1,2.340855615,0.038461538,-,-4.108613048,60%-61%,-,4.761582406
,Phaethornis nattereri,1109086,Aves,1,2.645250867,0.043478261,-,-4.108260123,60%-61%,-,5.214241061
red-backed shrike,Lanius collurio,56324,Aves,1,2.339751465,0.038461538,-,-4.10814125,60%-61%,-,4.761030331
,Ploceus spekeoides,441719,Aves,1,1.216581202,0.02,-,-4.108067637,60%-61%,-,2.896883424
,Francolinus natalensis,57762,Aves,1,1.689621375,0.027777778,0.788065073,-4.108023404,60%-61%,-0.728037992,3.680430249
,Crassulaceae,3781,Embryophytes,640,76.27,1.254901961,-,-4.107222226,60%-61%,-,-
wattled crane,Grus carunculatus,9118,Aves,1,5.518540907,0.090909091,-,-4.10600877,60%-61%,-,9.269351115
ruddy pigeon,Columba subvinacea,115599,Aves,1,3.193768101,0.052631579,-,-4.105640422,60%-61%,-,-
,Columba sp.,8933,Aves,1,3.193768101,0.052631579,-,-4.105640422,60%-61%,-,-
lesser frigatebird,Fregata ariel,244446,Aves,1,12.12681464,0.2,-,-4.104856999,60%-61%,-,21.96251063
,Chiromyscus chiropus,491872,Mammals,1,30.3,0.5,-,-4.104294893,60%-61%,-,30.3859405
,Polychrotinae,81957,Lepidosaurians,331,91.15,1.504545455,-,-4.104015672,60%-61%,-,-
American tree sparrow,Spizella arborea,40207,Aves,1,8.65271039,0.142857143,-,-4.103782761,60%-61%,-,9.561762687
Temminck's courser,Cursorius temminckii,227177,Aves,1,7.56711403,0.125,-,-4.103253299,60%-61%,-,11.23859977
,Falcipennis,109673,Aves,2,6.724513985,0.111111111,-,-4.10298423,60%-61%,-,7.027873731
,Cryptorhynchinae,190812,Arthropods,965,73.68666667,1.218434343,-,-4.10225516,60%-61%,-,-
,Mirafra hova,1365181,Aves,1,3.777325163,0.0625,-,-4.101604853,60%-61%,-,8.46883464
Markham's storm-petrel,Oceanodroma markhami,1757959,Aves,1,6.712183001,0.111111111,0.963021227,-4.101148811,60%-61%,-1.832411025,18.22340465
,Luscinia pectoralis,869912,Aves,1,4.026081193,0.066666667,0.86877079,-4.100843695,60%-61%,-1.459534485,7.635234047
,Hemitriccus orbitatus,1109045,Aves,1,4.312083437,0.071428571,0.999676097,-4.100478513,60%-61%,-1.392730667,6.381118129
rufous-tailed robin,Luscinia sibilans,433637,Aves,1,4.024451995,0.066666667,0.821891191,-4.100438953,60%-61%,-1.510544267,7.075423551
peach-faced lovebird,Agapornis roseicollis,60468,Aves,1,7.54570223,0.125,1.278644977,-4.100419702,60%-61%,-1.681905752,11.50101751
,Glossopsitta,176040,Aves,3,8.229875024,0.136363636,-,-4.100200994,60%-61%,-,5.052651659
,Chaetura chapmani,243322,Aves,1,10.05861214,0.166666667,0.966721237,-4.100188666,60%-61%,-2.183217905,13.32828883
,Aerodramus,46474,Aves,16,20.98632815,0.347826087,-,-4.099923859,60%-61%,-,8.147226474
,Hylopezus ochroleucus,519484,Aves,1,8.617042035,0.142857143,-,-4.099652023,60%-61%,-,10.96699438
,Rosoideae,171638,Embryophytes,1250,95.9,1.590330789,-,-4.099363944,60%-61%,-,-
,Elaeodendron,123414,Embryophytes,12,10.8,0.179104478,-,-4.099332104,60%-61%,-,-
eastern marsh-harrier,Circus spilonotus,214436,Aves,1,4.307071947,0.071428571,0.876577519,-4.09931564,60%-61%,-1.513652663,7.817573475
,Icterus auricapillus,105597,Aves,1,2.008959673,0.033333333,-,-4.098814394,60%-61%,-,3.513191078
,Upucerthia serrana,427546,Aves,1,7.531802463,0.125,1.057054105,-4.098575926,60%-61%,-1.851880692,7.949513796
huia,Heteralocha acutirostris,192211,Aves,1,15.06064803,0.25,-,-4.098379612,60%-61%,-,-
azure jay,Cyanocorax caeruleus,703281,Aves,1,3.542752813,0.058823529,-,-4.0981174,60%-61%,-,5.33376203
Lindbergh's Oryzomys,Cerradomys scotti,132256,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,-
,Cerradomys maracajuensis,132257,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,-
,Cerradomys marinhus,132258,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,-
,Cerradomys langguthi,1630327,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,-
,Cerradomys vivoi,1630328,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,-
,Cerradomys akroai,1630329,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,-
,Cerradomys goytaca,1630330,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,-
Flavescent Oryzomys,Cerradomys subflavus,37022,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,9.031199057
little spotted cat,Leopardus tigrinus,46842,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,10.42227174
Geoffroy's cat,Leopardus geoffroyi,46844,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,10.42227174
Kodkod,Leopardus guigna,61386,Mammals,1,8.6,0.142857143,-,-4.097672352,61%-62%,-,10.42227174
,Lasiocephalus,422331,Embryophytes,11,2.2,0.03654485,-,-4.097672352,61%-62%,-,-
Andean lapwing,Vanellus resplendens,302532,Aves,1,8.599409688,0.142857143,-,-4.097603709,61%-62%,-,14.78560952
green-headed Tanager,Tangara seledon,221979,Aves,1,1.228342812,0.020408163,0.898804918,-4.097486251,61%-62%,-0.289903274,2.990590282
,Callosciurus,64663,Mammals,14,21.6,0.358974359,0.931140479,-4.097197631,61%-62%,-2.817962078,21.79828114
Lesser masked weaver,Ploceus intermedius,267978,Aves,1,1.203348864,0.02,0.76607838,-4.097131395,61%-62%,-0.425807161,2.522010062
,Camarhynchus,87174,Aves,5,0.826147089,0.013736264,0.904906024,-4.096733507,61%-62%,0.106123975,1.09513945
,Prunella,175132,Aves,13,26.95890944,0.448275862,0.833950123,-4.096660307,61%-62%,-3.045716216,7.896373051
,Tussilagininae,795080,Embryophytes,241,23.3,0.387459807,-,-4.09659652,61%-62%,-,-
Japanese wood-pigeon,Columba janthina,337444,Aves,1,3.164215611,0.052631579,-,-4.096344172,61%-62%,-,8.170915348
,Bradypterus alishanensis,934038,Aves,1,3.163223597,0.052631579,-,-4.096030612,61%-62%,-,6.856151237
great apes,Hominidae,9604,Mammals,9,23.5,0.391304348,0.973104156,-4.09527006,61%-62%,-2.846279417,15.13091462
Chatham Islands robin,Petroica traversi,228564,Aves,1,6.668790836,0.111111111,1,-4.094663137,61%-62%,-1.792078044,13.53996089
common white-tern,Gygis alba,297809,Aves,1,0.631662939,0.010526316,-,-4.09447754,61%-62%,-,9.58505783
,Salicornioideae,1316646,Embryophytes,178,45.45,0.757446809,-,-4.094414784,61%-62%,-,-
russet ground squirrel,Spermophilus major,99843,Mammals,1,4,0.066666667,-,-4.094344562,61%-62%,-,5.153633049
European suslik,Spermophilus citellus,9997,Mammals,1,4,0.066666667,-,-4.094344562,61%-62%,-,5.153633049
Allen's cotton rat,Sigmodon alleni,129434,Mammals,1,6,0.1,0.957300879,-4.094344562,61%-62%,-1.736040149,7.805750154
Arizona cotton rat,Sigmodon arizonae,129435,Mammals,1,6,0.1,0.9412059,-4.094344562,61%-62%,-1.751379909,7.805750154
,Sigmodon alstoni,134742,Mammals,1,6,0.1,0.894388692,-4.094344562,61%-62%,-1.79738658,7.805750154
,Sigmodon leucotis,134743,Mammals,1,6,0.1,0.897589957,-4.094344562,61%-62%,-1.794172421,7.805750154
,Sigmodon peruanus,134744,Mammals,1,6,0.1,0.956555504,-4.094344562,61%-62%,-1.736745377,7.805750154
Toltec cotton rat,Sigmodon toltecus,134745,Mammals,1,6,0.1,-,-4.094344562,61%-62%,-,-
,Sigmodon hirsutus,262468,Mammals,1,6,0.1,-,-4.094344562,61%-62%,-,-
hispid cotton rat,Sigmodon hispidus,42415,Mammals,1,6,0.1,0.936324584,-4.094344562,61%-62%,-1.756079069,7.805750154
Jaliscan cotton rat,Sigmodon mascotensis,42416,Mammals,1,6,0.1,0.907648054,-4.094344562,61%-62%,-1.784140513,7.805750154
yellow-nosed cotton rat,Sigmodon ochrognathus,56214,Mammals,1,6,0.1,0.860733218,-4.094344562,61%-62%,-1.831817986,7.805750154
